HHID,NWEIGHT,REGIONC,DIVISION,SHARELQT,LIVEATSP,KOWNRENT,OCCUPYY,OCCUPYM,ANSWERHH,HOUSEHLD,HHSEX,HHAGE,EMPLOYHH,ANSWER02,KIN02,SEX02,YEARS02,EMPLOY02,ANSWER03,KIN03,SEX03,YEARS03,EMPLOY03,ANSWER04,KIN04,SEX04,YEARS04,EMPLOY04,ANSWER05,KIN05,SEX05,YEARS05,EMPLOY05,ANSWER06,KIN06,SEX06,YEARS06,EMPLOY06,ANSWER07,KIN07,SEX07,YEARS07,EMPLOY07,ANSWER08,KIN08,SEX08,YEARS08,EMPLOY08,ANSWER09,KIN09,SEX09,YEARS09,EMPLOY09,ANSWER10,KIN10,SEX10,YEARS10,EMPLOY10,ANSWER11,KIN11,SEX11,YEARS11,EMPLOY11,ANSWER12,KIN12,SEX12,YEARS12,EMPLOY12,NHSLDMEM,DRIVEMON,GRADHH,MARRIED,ORIGIN,SDESCENT,WAGES,SELFHIRE,SSECURTY,PENSIONS,FSTAMPS,AFDC,UNEMPLOY,SSI,OTHERAID,MONEYPY,INC35PLU,HUPROJ,RENTHELP,DRIVECAR,VEHICLES,AREA1980,FAMSIZE,POOR100,POOR125,HOWPAID
4240,11094,3,6,0,9,2,11,10,1,01,1,49,1,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,01,01,09,3,1,0,1,0,0,0,0,0,0,0,0,02,9,0,0,1,01,1,1,1,1,1
4241,16980,3,6,0,9,1,01,99,1,01,2,71,0,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,01,01,06,2,1,0,0,0,1,0,0,0,0,0,0,14,1,9,9,1,03,1,1,0,0,1
4242,16014,3,6,0,9,1,05,99,1,01,1,28,1,0,02,2,32,1,0,03,1,6,9,0,03,2,4,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,04,02,16,1,1,0,1,0,0,0,0,0,0,0,0,24,9,9,9,1,02,4,4,0,0,1
4243,28088,3,5,0,9,1,11,06,1,01,1,41,1,0,02,2,37,1,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,02,02,12,1,1,0,1,0,0,0,0,0,0,0,0,23,9,9,9,1,02,2,2,0,0,1
4244,21327,3,7,0,9,1,06,99,0,01,2,51,1,1,02,1,48,1,0,03,2,27,1,0,03,2,21,1,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,04,04,12,1,1,0,1,0,0,0,0,0,0,0,0,25,9,9,9,1,04,2,4,0,0,1
4245,14397,1,2,0,9,2,10,04,1,01,1,24,0,0,02,2,25,1,0,03,1,2,9,0,03,1,0,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,04,01,12,1,1,0,1,0,0,0,1,0,0,0,0,10,9,0,1,1,01,4,4,1,1,1
4246,13831,4,9,8,9,3,11,09,1,01,2,36,1,0,02,1,35,0,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,02,02,09,1,1,1,1,0,0,0,0,0,0,0,0,14,9,0,0,1,02,2,2,0,0,3
4247,54688,3,7,0,9,1,11,08,0,01,2,31,1,1,02,1,26,2,0,03,1,11,9,0,03,1,9,9,0,03,1,6,9,0,03,2,7,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,06,02,11,1,1,0,1,0,0,0,0,0,0,0,0,14,9,9,9,1,02,2,6,1,1,1
4248,11437,2,4,0,9,1,07,99,1,01,1,45,1,0,02,2,49,1,0,03,2,15,0,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,03,02,18,1,1,0,1,0,0,0,0,0,0,0,0,25,2,9,9,1,02,2,3,0,0,1
4249,9458,4,8,0,9,2,10,08,1,01,2,49,1,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,01,00,12,3,1,1,1,0,0,0,0,0,1,0,0,08,9,0,0,0,00,2,1,0,0,4
4250,17441,1,2,0,9,1,06,99,1,01,1,28,1,0,02,2,30,1,0,03,2,11,9,0,03,1,8,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,04,02,12,1,1,0,1,0,0,0,0,0,0,0,0,23,9,9,9,1,02,4,4,0,0,1
4251,12891,3,6,0,9,1,10,08,1,01,2,59,0,0,02,1,56,0,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,02,02,14,1,1,0,0,0,0,1,0,0,0,0,0,20,9,9,9,1,01,4,2,0,0,1
4252,9812,3,6,0,9,2,08,06,1,01,1,25,0,0,03,2,8,9,0,03,2,3,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,03,01,09,4,2,0,0,0,0,0,1,0,0,0,0,01,9,0,1,1,01,1,3,1,1,1
4253,36848,2,3,0,9,1,05,99,1,01,2,50,1,0,02,1,50,0,0,03,1,23,1,0,03,1,22,2,0,03,1,15,2,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,05,04,16,1,1,0,1,0,0,0,0,0,0,0,0,24,2,9,9,1,03,2,5,0,0,1
4254,20529,1,2,0,9,3,10,06,1,01,2,21,2,0,06,2,47,0,0,06,1,47,2,0,21,1,13,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,04,00,08,4,2,0,1,0,0,0,1,0,0,0,0,01,9,0,1,0,00,1,4,1,1,3
4255,8661,2,4,0,9,2,06,99,1,01,1,81,0,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,01,00,07,2,1,0,0,0,1,0,0,0,0,0,0,09,9,0,0,0,00,1,1,0,0,3
4256,12926,1,1,0,9,2,11,06,1,01,1,18,2,0,02,2,22,0,0,03,2,0,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,03,00,10,1,1,1,1,0,0,0,0,1,0,0,1,01,9,0,0,0,00,2,3,1,1,3
4257,31990,3,7,0,9,1,03,99,1,01,2,72,0,0,02,1,73,0,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,02,02,18,1,2,0,0,0,0,1,0,0,0,0,0,14,9,9,9,1,02,2,2,0,0,1
4258,25602,3,5,0,9,2,10,09,1,01,1,28,0,0,02,2,27,1,0,03,1,5,9,0,03,1,4,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,04,02,09,1,1,0,1,0,0,0,0,0,0,0,0,07,9,0,0,1,02,2,4,1,1,1
4259,13715,2,4,0,9,1,05,99,1,01,1,40,2,0,02,2,43,1,0,03,1,6,9,0,03,2,9,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,04,02,14,1,1,0,1,0,0,0,0,0,1,0,0,24,9,9,9,1,02,4,4,0,0,1
4260,14642,1,2,0,9,1,03,99,1,01,2,67,0,0,02,1,68,0,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,02,02,12,1,1,0,0,0,1,1,0,0,0,0,0,16,9,9,9,1,01,2,2,0,0,1
4261,7767,2,4,0,9,1,09,08,1,01,2,26,1,0,02,1,25,0,0,03,2,8,9,0,03,2,6,9,0,03,2,2,9,0,03,2,0,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,06,02,12,1,1,0,1,0,0,0,0,0,0,0,0,19,9,9,9,1,03,4,6,0,0,1
4262,26983,3,6,0,9,2,10,07,1,01,1,38,1,0,02,2,35,1,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,02,02,12,1,2,0,1,0,0,0,0,0,0,0,0,17,1,0,0,1,02,1,2,0,0,1
4263,11094,3,6,0,9,1,04,99,1,01,1,84,0,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,01,00,01,2,2,0,0,0,1,0,1,0,0,1,0,01,9,9,9,0,00,1,1,1,1,4
4264,7625,2,4,0,9,1,08,11,1,01,1,33,0,0,02,2,32,1,0,03,1,6,9,0,03,2,5,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,04,02,16,1,1,0,1,0,0,0,0,0,0,0,0,24,9,9,9,1,02,2,4,0,0,1
4265,21563,3,5,0,9,1,03,99,1,01,1,63,0,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,01,00,08,2,1,0,0,0,1,0,0,0,0,0,0,10,9,9,9,0,00,4,1,0,0,1
4266,11459,3,6,0,9,2,09,01,1,01,1,33,1,0,03,1,11,9,0,03,1,12,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,03,01,12,2,1,0,1,0,0,0,0,1,0,0,0,12,9,0,0,1,01,4,3,0,0,1
4267,13803,1,2,1,0,1,04,99,1,01,1,75,0,0,21,1,88,0,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,02,00,12,4,1,0,0,0,1,1,0,0,0,0,0,15,9,9,9,0,00,2,2,0,0,1
4268,33639,1,2,0,9,2,08,02,1,01,1,34,0,0,03,1,12,9,0,06,1,68,0,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,9,99,9,99,9,03,00,11,4,2,0,0,0,1,0,1,1,0,1,0,10,9,0,1,0,00,1,3,0,1,1
