HHID,NWEIGHT,REGIONC,DIVISION,CORDONE,WOODAMT,CORDPLUS,NLPGDELV,KLPGSUPP,NLPGSUPP,NFODELV,NUMFOCO,NUMFOSUP,QUANTFO,BUYKERO,NUMKRDEL,TOTPAYKR,TOTDELKR,NUMKRGAL,TOTKRGAL,TOTKRUSE,GALLONKR,BTUKER,KWH,BTUEL,THERMNG,BTUNG,GALLONFO,BTUFO,THERMLP,BTULP,BTUELAPL,BTUELCOL,BTUELSPH,BTUELWTH,BTUFOAPL,BTUFOSPH,BTUFOWTH,BTUKRAPL,BTUKRSPH,BTUKRWTH,BTULPAPL,BTULPSPH,BTULPWTH,BTUNGAPL,BTUNGCOL,BTUNGSPH,BTUNGWTH
6040,6577,1,1,2,9,10,94,1,9,5,1,9,3,9,9,9999,99,999,9999,9,999999,9999999,7537,25716,999999,9999999,723,100273,999999,9999999,25716,9999999,9999999,9999999,9999999,71571,28702,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
6041,10028,3,6,2,9,100,99,9,9,99,9,9,9,2,9,9999,10,10,9999,9,35,4754,8531,29107,999999,9999999,999999,9999999,999999,9999999,16088,9999999,9999999,13019,9999999,9999999,9999999,9999999,4754,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
6042,18505,1,2,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,8431,28767,1113,111273,999999,9999999,999999,9999999,28767,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,5661,9999999,85129,20482
6043,21330,1,2,9,9,999,2,1,9,3,1,9,3,9,9,9999,99,999,9999,9,999999,9999999,18984,64773,999999,9999999,515,71425,93,9300,34404,4564,19421,6383,9999999,71425,9999999,9999999,9999999,9999999,9300,9999999,9999999,9999999,9999999,9999999,9999999
6044,15233,1,2,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,3346,11417,1402,140200,999999,9999999,999999,9999999,9322,2095,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,8349,9999999,105650,26201
6045,7858,3,5,1,3,999,4,1,9,2,1,9,3,9,9,9999,99,999,9999,9,999999,9999999,5760,19655,999999,9999999,587,81411,61,6100,11021,9999999,1264,7370,9999999,81411,9999999,9999999,9999999,9999999,1963,9999999,4137,9999999,9999999,9999999,9999999
6046,9985,3,6,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,16556,56489,999999,9999999,999999,9999999,999999,9999999,21519,10772,14011,10187,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
6047,16044,3,7,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,9981,34055,999999,9999999,999999,9999999,999999,9999999,10773,7127,7457,8699,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
6048,15233,1,2,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,11102,37879,668,66765,999999,9999999,999999,9999999,24137,13742,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,8785,9999999,42594,15386
6049,10381,3,6,1,2,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,24537,83720,999999,9999999,999999,9999999,999999,9999999,34637,16454,21055,11574,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
6050,17781,3,5,2,9,50,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,9280,31663,285,28500,999999,9999999,999999,9999999,16621,1857,9999999,13185,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,3807,9999999,24693,9999999
6051,41480,1,2,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,3242,11062,806,80600,999999,9999999,999999,9999999,11062,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,3678,9999999,62383,14539
6052,20679,3,7,2,9,10,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,24628,84031,999999,9999999,999999,9999999,999999,9999999,34357,22542,16601,10531,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
6053,13910,4,9,1,1,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,17963,61290,1044,104400,999999,9999999,999999,9999999,36234,25056,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,16945,9999999,54851,32604
6054,13721,4,9,1,3,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,8326,28408,573,57300,999999,9999999,999999,9999999,19020,9388,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,13923,9999999,25964,17413
6055,6452,1,1,1,3,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,6154,20997,1031,103100,999999,9999999,999999,9999999,20997,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,4782,9999999,75620,22698
6056,6237,4,9,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,2256,7697,339,33900,999999,9999999,999999,9999999,7697,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,7536,9999999,9999999,26364
6057,13721,4,9,1,4,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,5342,18227,421,42100,999999,9999999,999999,9999999,14765,2082,1380,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,10364,9999999,9811,21925
6058,16082,2,3,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,1374,4688,733,73300,999999,9999999,999999,9999999,4688,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,60774,12526
6059,8994,2,4,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,8571,29244,755,75500,999999,9999999,999999,9999999,22331,4803,2110,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,2590,9999999,61059,11851
6060,17728,3,7,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,4972,16964,833,83300,999999,9999999,999999,9999999,16964,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9469,9999999,40130,33701
6061,7215,1,1,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,5821,19861,999999,9999999,602,83530,999999,9999999,10261,2190,9999999,7410,9999999,83530,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
6062,9926,2,4,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,4920,16787,430,43030,999999,9999999,999999,9999999,13261,3526,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,36739,6291
6063,16602,3,5,1,4,999,94,1,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,9454,32257,774,77400,999999,9999999,999999,9999999,20157,12100,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,4231,9999999,57335,15834
6064,11760,3,5,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,1320,4504,999999,9999999,999999,9999999,85,8493,2349,9999999,9999999,2155,9999999,9999999,9999999,9999999,9999999,9999999,4312,4181,9999999,9999999,9999999,9999999,9999999
6065,29193,3,5,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,14516,49529,999999,9999999,999999,9999999,999999,9999999,18064,4136,17754,9575,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
6066,8829,1,1,9,9,999,99,9,9,8,1,9,3,9,9,9999,99,999,9999,9,999999,9999999,2949,10062,999999,9999999,604,83769,999999,9999999,10062,9999999,9999999,9999999,9999999,59765,24004,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
6067,12494,3,6,9,9,999,99,9,9,99,9,9,9,9,9,9999,99,999,9999,9,999999,9999999,4615,15745,452,45208,999999,9999999,999999,9999999,8058,7687,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,4012,9999999,30453,10743
6068,8686,3,6,1,3,999,99,9,9,99,9,9,9,1,1,9999,2,125,9999,9,202,27270,9153,31230,999999,9999999,999999,9999999,999999,9999999,20706,9999999,9999999,10524,9999999,9999999,9999999,9999999,27270,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999
