HHID,NWEIGHT,REGIONC,DIVISION,CDD65,CDD70,CDD75,HDD50,HDD55,HDD60,HDD65,HDD70,FUELHEAT,AUXUGAS,AUXLPG,AUXFOIL,AUXKERO,AUXELEC,AUXCOAL,AUXWOOD,AUXSOLAR,AUXOTHER,DKFUEL,AUXFUEL,HEATAMT,FUELTWIN,FUELPAST,MOFUELCH,YRFUELCH,EQUIPM,RADIANT,STEAM,WARMAIR,REVERSE,PERMELEC,PIPELESS,ROOMHEAT,WOODKILN,CHIMNEY,CARRYEL,CARRYKER,RANGE,DIFEQUIP,DKEQUIP,AUXEQUIP,FANM,STOVSEAL,EQUIPAGE,KHEATCOM,WOODBURN,FUELH2O,UAUXH2OF,FAUXH2O,AGEWATER,KWHTCOM,COOLMAIN,COOLUNIT,NUMBERAC,FUELCOOL,KACSYSCN,FUELSWIM,FUELFOOD,ELWATER,ELWARM,ELCOOL,ELFOOD,ELOTHER,UGWATER,UGWARM,UGCOOL,UGFOOD,UGOUTSID,UGOTHER,LPGWATER,LPGWARM,LPGCOOL,LPGFOOD,LPGOUT,LPGOTHER,FOIWATER,FOILWARM,FOILFOOD,KERWATER,KERWARM,KERFOOD,UGASAREA,RENT1,RENT2,RENT3,RENT4,RENT6,GASCALL,GASBASIS,USEKERO,USEEL,USENG,USEFO,TYPEF01,TYPEF02,TYPEF03,USELP,TYPELP1,TYPELP2,TYPELP3,BROKEN88,NOGIVE88,RANOUT88,SHTOFF88,RBROKE88,RNOGIV88,RRNOUT88,RSHOFF88
5623,26597,3,5,1436,761,253,1462,2234,3195,4259,5425,03,0,0,0,0,1,0,0,0,0,0,0,1,1,99,99,99,03,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9,3,9,0,05,0,99,4,9,1,0,99,3,9,99,05,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,9,9,0,9,9,9,9,9,9,9,9,9,9,9
5624,21056,4,9,1205,359,77,25,129,447,1003,1969,01,0,0,0,0,0,0,0,0,0,0,1,9,0,05,98,98,06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,9,6,9,0,01,0,99,1,9,0,0,99,9,9,99,01,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,1,0,9,9,9,0,9,9,9,9,9,9,9,9,9,9,9
5625,8799,2,3,1308,711,245,2307,3181,4169,5279,6512,01,0,0,0,0,0,0,0,0,0,0,1,9,1,99,99,99,03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,5,9,0,01,0,99,2,9,0,1,1,9,9,99,01,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,1,0,9,9,9,0,9,9,9,0,0,0,0,9,9,9,9
5626,22340,4,8,616,274,98,3126,4103,5216,6488,7966,02,0,0,0,0,0,0,0,0,0,0,1,9,1,99,99,99,03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,4,9,0,02,0,99,4,9,0,0,99,9,9,99,02,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,9,9,9,1,9,9,9,0,0,0,0,9,9,9,9
5627,8969,4,8,3745,2544,1531,197,443,843,1376,2039,01,0,0,0,0,0,0,0,0,0,0,1,9,1,99,99,99,03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,5,9,0,01,0,99,3,9,0,0,99,9,9,99,01,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,1,0,9,9,9,0,9,9,9,0,0,0,0,9,9,9,9
5628,15000,3,5,3847,2494,1332,0,2,42,185,479,01,0,0,0,0,0,0,0,0,0,0,1,9,1,99,99,99,03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,9,1,0,01,0,99,9,1,0,0,99,9,9,99,01,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,1,0,9,9,9,0,9,9,9,0,0,0,0,9,9,9,9
5629,8736,3,6,2424,1413,636,188,440,864,1480,2305,05,0,0,0,0,0,0,0,0,0,0,1,9,1,99,99,99,05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,9,9,0,0,05,0,99,9,0,1,0,99,3,0,99,05,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,9,9,9,0,9,9,9,0,0,0,0,9,9,9,9
5630,22306,1,2,644,298,100,2493,3494,4638,5928,7409,03,0,0,0,0,0,0,1,0,0,0,0,1,1,99,99,99,02,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,9,1,9,1,03,0,99,1,9,1,1,1,3,9,03,05,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,9,9,0,9,9,9,0,0,0,0,9,9,9,9
5631,8225,4,8,1714,946,443,948,1507,2209,3031,4044,01,0,0,0,0,1,0,1,0,0,0,0,2,1,99,99,99,06,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,9,9,5,9,1,01,0,99,1,9,0,0,99,9,9,99,05,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,1,0,9,9,9,0,9,9,9,9,9,9,9,9,9,9,9
5632,10381,3,6,1812,1085,504,865,1459,2206,3125,4207,05,0,0,0,0,0,0,1,0,0,0,0,1,1,99,99,99,04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,9,4,9,1,05,0,99,4,9,1,0,99,3,9,99,05,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,9,9,0,9,9,9,9,9,9,9,9,9,9,9
