HHID,NWEIGHT,REGIONC,DIVISION,YEARMADE,NROOMS,NCOMBATH,NHAFBATH,COOLHOME,TYPEHU,STORIES,CARHOME,GARHEAT,GARHETON,HOMEBASE,CELLAR,AREASHUT,AREAOPEN,CONCRETE,BASEHEAT,BLDGBASE,USEBASE,SPACEHOT,CHANGES,SAMEFEET,SAMEHEAT,WORKDONE,CHANGESM,CHANGESY,EXTENTB,COMPUTEB,BASISB,MEASBAH,MEASBAL,MEASBAW,MEASBBH,MEASBBL,MAESBBW,MEASBCH,MEASBCL,MEASBCW,MEASBDH,MEASBDL,MEASBDW,LINEARB,EXTENT1,COMPUTE1,BASIS1,MEAS1AH,MEAS1AL,MEAS1AW,MEAS1BH,MEAS1BL,MEAS1BW,MEAS1CH,MEAS1CL,MEAS1CW,MEAS1DH,MEAS1DL,MEAS1DW,LINEAR1,EXTENT2,COMPUTE2,BASIS2,MEAS2AH,MEAS2AL,MEAS2AW,MEAS2BH,MEAS2BL,MEAS2BW,MEAS2CH,MEAS2CL,MEAS2CW,MEAS2DH,MEAS2DL,MEAS2DW,LINEAR2,EXTENT3,COMPUTE3,BASIS3,MEAS3AH,MEAS3AL,MEAS3AW,MEAS3BH,MEAS3BL,MEAS3BW,MEAS3CH,MEAS3CL,MEAS3CW,MEAS3DH,MEAS3DL,MEAS3DW,LINEAR3,ESTHEAT,ESTUN,ESTHOME,COOLAREA,INSIDE,LINEARFL,HEATED,UNHEATED,HOMEAREA,SCALE,SOURCE
1566,21043,3,5,01,08,1,0,01,2,2,0,9,9,1,9,9,9,9,1,9,9,9,0,9,9,99,99,99,1,1,1,1,44,27,9,99,99,9,99,99,9,99,99,1,1,1,1,1,44,27,9,99,99,9,99,99,9,99,99,1,1,1,1,1,44,27,9,99,99,9,99,99,9,99,99,1,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,0,01,3,3997,0,3997,121,1
1567,28547,3,5,10,08,2,0,95,2,1,1,0,9,4,9,9,9,9,9,9,9,9,0,9,9,99,99,99,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,1,2,2,2,15,50,1,38,2,1,27,53,1,31,32,4,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,1,02,1,2499,750,3249,999,0
1568,10484,3,6,05,04,1,0,95,2,1,0,9,9,2,9,9,9,9,0,9,9,9,0,9,9,99,99,99,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,1,1,1,1,30,27,9,99,99,9,99,99,9,99,99,1,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,0,01,1,873,0,873,78,1
1569,15233,1,2,04,04,1,0,02,3,9,9,9,9,9,9,9,9,9,9,0,9,9,0,9,9,99,99,99,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,1,5,1,1,68,20,9,99,99,9,99,99,9,99,99,1,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,0,05,1,1360,0,1360,999,2
1570,3958,4,8,01,08,1,0,99,2,2,0,9,9,1,9,9,9,9,1,9,9,9,0,9,9,99,99,99,1,1,1,1,42,21,9,99,99,9,99,99,9,99,99,1,1,1,1,1,42,21,9,99,99,9,99,99,9,99,99,1,1,1,1,2,42,21,9,99,99,9,99,99,9,99,99,1,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,1,01,3,1966,983,2949,115,1
1571,5921,1,2,01,05,1,0,99,3,9,9,9,9,9,9,9,9,9,9,1,0,9,0,9,9,99,99,99,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,1,1,1,1,48,21,9,99,99,9,99,99,9,99,99,1,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,0,01,1,1082,0,1082,74,1
1572,10165,2,3,01,06,1,0,99,3,9,9,9,9,9,9,9,9,9,9,1,1,1,0,9,9,99,99,99,1,2,1,1,32,26,9,99,99,9,99,99,9,99,99,1,1,2,1,1,32,26,9,99,99,9,99,99,9,99,99,1,1,2,1,1,32,26,9,99,99,9,99,99,9,99,99,1,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,0,02,3,2496,0,2496,999,0
1573,11161,2,3,01,06,1,0,99,2,2,0,9,9,1,9,9,9,9,1,9,9,9,0,9,9,99,99,99,1,2,1,1,35,26,9,99,99,9,99,99,9,99,99,1,1,2,1,1,35,26,2,8,22,9,99,99,9,99,99,2,1,2,1,1,35,26,9,99,99,9,99,99,9,99,99,1,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,1,02,3,2730,176,2906,999,0
1574,12771,3,5,01,06,1,0,99,2,1,0,9,9,2,9,9,9,9,0,9,9,9,0,9,9,99,99,99,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,1,2,1,1,14,37,1,14,38,9,99,99,9,99,99,2,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,0,02,1,1050,0,1050,999,0
1575,20581,4,9,02,06,1,0,99,2,1,0,9,9,4,9,9,9,9,9,9,9,9,0,9,9,99,99,99,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,1,4,1,1,24,36,1,16,16,2,7,20,9,99,99,3,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,1,04,1,1120,140,1260,999,2
1576,17546,4,9,05,02,1,0,95,1,9,9,9,9,3,9,9,9,9,0,9,9,9,0,9,9,99,99,99,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,1,2,1,1,33,8,9,99,99,9,99,99,9,99,99,1,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,0,02,1,264,0,264,999,0
1577,16752,2,3,04,08,2,0,99,2,2,0,9,9,1,9,9,9,9,1,9,9,9,0,9,9,99,99,99,1,5,1,1,35,26,9,99,99,9,99,99,9,99,99,1,1,5,1,1,35,26,9,99,99,9,99,99,9,99,99,1,1,5,1,1,35,26,9,99,99,9,99,99,9,99,99,1,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,0,05,3,2730,0,2730,999,2
1578,11147,4,9,06,07,2,0,99,1,9,9,9,9,3,9,9,9,9,0,9,9,9,0,9,9,99,99,99,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,1,1,1,1,60,24,9,99,99,9,99,99,9,99,99,1,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,0,01,1,1441,0,1441,1,1
1579,20243,3,6,04,05,2,0,95,3,9,9,9,9,9,9,9,9,9,9,0,9,9,0,9,9,99,99,99,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,1198,9,04,0,1198,0,1198,999,3
1580,11439,1,2,01,05,2,0,95,3,9,9,9,9,9,9,9,9,9,9,1,1,1,0,9,9,99,99,99,1,1,1,1,32,19,9,99,99,9,99,99,9,99,99,1,1,1,1,1,32,19,9,99,99,9,99,99,9,99,99,1,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,0,01,2,1332,0,1332,95,1
1581,8981,4,8,06,05,1,0,99,2,1,0,9,9,1,9,9,9,9,1,9,9,9,0,9,9,99,99,99,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,900,900,9999,9,05,0,900,900,1800,999,2
1582,8317,2,4,03,08,2,0,95,2,1,1,0,9,5,1,1,0,0,2,9,9,9,0,9,9,99,99,99,1,2,1,1,32,28,9,99,99,9,99,99,9,99,99,1,1,2,1,2,18,28,1,50,28,9,99,99,9,99,99,2,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,1,02,2,2296,504,2800,999,0
1583,14135,4,9,01,04,1,0,95,4,9,9,9,9,9,9,9,9,9,9,9,9,9,0,9,9,99,99,99,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,1,1,1,1,47,20,9,99,99,9,99,99,9,99,99,1,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,0,01,1,1011,0,1011,75,1
1584,13796,4,8,04,03,1,0,99,2,1,0,9,9,4,9,9,9,9,9,9,9,9,0,9,9,99,99,99,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,1,2,1,1,4,13,1,9,39,1,8,27,1,7,18,4,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,0,02,1,745,0,745,999,0
1585,11439,1,2,03,05,1,0,99,2,1,0,9,9,1,9,9,9,9,0,9,9,9,0,9,9,99,99,99,1,2,1,2,50,30,9,99,99,9,99,99,9,99,99,1,1,2,1,1,50,30,9,99,99,9,99,99,9,99,99,1,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,1,02,2,1500,1500,3000,999,0
1586,51798,3,5,08,03,2,0,95,4,9,9,9,9,9,9,9,9,9,9,9,9,9,0,9,9,99,99,99,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,1,1,1,1,16,5,1,38,22,9,99,99,9,99,99,2,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,0,01,1,985,0,985,76,1
1587,25854,2,3,04,07,2,0,95,2,1,0,9,9,1,9,9,9,9,1,9,9,9,0,9,9,99,99,99,1,5,1,1,40,30,1,12,12,9,99,99,9,99,99,2,1,5,1,1,40,30,1,12,12,9,99,99,9,99,99,2,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,0,05,2,2688,0,2688,999,2
1588,7817,3,6,04,06,1,1,95,2,1,0,9,9,4,9,9,9,9,9,9,9,9,0,9,9,99,99,99,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,1560,0,9999,9,04,0,1560,0,1560,999,2
1589,13721,4,9,03,05,1,0,01,2,1,1,0,9,4,9,9,9,9,9,9,9,9,0,9,9,99,99,99,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,1100,0,9999,9,05,0,1100,349,1449,999,2
1590,8476,1,2,11,04,1,0,99,4,9,9,9,9,9,9,9,9,9,9,9,9,9,0,9,9,99,99,99,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,1,1,1,1,43,21,9,99,99,9,99,99,9,99,99,1,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,0,01,1,971,0,971,76,1
1591,12927,2,3,01,04,1,0,99,2,2,0,9,9,1,9,9,9,9,0,9,9,9,0,9,9,99,99,99,1,1,1,2,21,14,2,14,21,9,99,99,9,99,99,2,1,1,1,2,22,4,1,22,15,1,15,25,1,8,11,4,1,1,1,2,22,15,2,15,25,9,99,99,9,99,99,2,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,1,01,3,876,1525,2401,104,1
1592,13622,3,5,01,07,1,0,04,2,1,0,9,9,4,9,9,9,9,9,9,9,9,0,9,9,99,99,99,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,1,2,1,2,31,18,2,15,52,9,99,99,9,99,99,2,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,2,02,1,0,1338,1338,999,0
1593,23748,2,3,07,05,1,0,01,1,9,9,9,9,2,9,9,9,9,0,9,9,9,0,9,9,99,99,99,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,1,2,1,1,70,14,9,99,99,9,99,99,9,99,99,1,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,0,02,1,980,0,980,999,0
1594,28276,1,2,06,03,1,0,95,4,9,9,9,9,9,9,9,9,9,9,9,9,9,0,9,9,99,99,99,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,1,1,1,1,36,19,9,99,99,9,99,99,9,99,99,1,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,0,01,1,739,0,739,81,1
1595,5532,3,6,02,06,1,0,04,2,1,0,9,9,2,9,9,9,9,0,9,9,9,0,9,9,99,99,99,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,1,8,2,2,8,63,2,8,60,2,13,13,1,16,30,4,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,1,03,1,480,1153,1633,999,2
1596,12449,1,1,01,04,1,0,99,3,9,9,9,9,9,9,9,9,9,9,1,1,1,0,9,9,99,99,99,1,1,1,1,30,18,9,99,99,9,99,99,9,99,99,1,1,1,1,1,7,12,1,23,18,9,99,99,9,99,99,2,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,0,01,2,1138,0,1138,96,1
1597,7063,1,1,03,05,1,0,99,2,1,0,9,9,1,9,9,9,9,1,9,9,9,0,9,9,99,99,99,1,1,1,1,36,28,1,14,6,9,99,99,9,99,99,2,1,1,1,1,36,28,1,14,6,9,99,99,9,99,99,2,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,0,01,2,2393,0,2393,95,1
1598,8387,1,1,01,06,1,0,99,3,9,9,9,9,9,9,9,9,9,9,1,0,9,0,9,9,99,99,99,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,1,2,1,1,41,25,1,5,6,1,16,6,1,7,4,4,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,0,02,1,1179,0,1179,999,0
1599,56282,3,7,06,04,1,0,95,4,9,9,9,9,9,9,9,9,9,9,9,9,9,0,9,9,99,99,99,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,1,1,1,1,4,15,1,23,23,2,3,5,9,99,99,3,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,1,01,1,637,17,654,82,1
1600,10436,1,2,01,05,1,0,99,3,9,9,9,9,9,9,9,9,9,9,1,0,9,0,9,9,99,99,99,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,1,1,1,1,30,23,1,13,16,1,7,7,2,8,16,4,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,1,01,1,1015,137,1152,72,1
1601,8551,1,1,03,10,2,0,04,2,1,1,0,9,5,1,1,0,0,1,9,9,9,0,9,9,99,99,99,1,2,1,1,34,26,9,99,99,9,99,99,9,99,99,1,1,2,1,2,19,24,1,32,14,1,34,25,1,28,1,4,1,2,1,1,32,18,1,3,5,1,3,5,9,99,99,3,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,1,02,3,2816,456,3272,999,0
1602,17422,2,3,06,06,1,1,95,2,1,1,0,9,1,9,9,9,9,1,9,9,9,0,9,9,99,99,99,1,4,1,1,52,26,9,99,99,9,99,99,9,99,99,1,1,4,1,1,52,26,2,26,24,9,99,99,9,99,99,2,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,1,04,2,2704,624,3328,999,2
1603,11161,2,3,01,05,1,0,99,2,2,0,9,9,1,9,9,9,9,1,9,9,9,0,9,9,99,99,99,1,2,1,1,16,31,9,99,99,9,99,99,9,99,99,1,1,2,1,1,16,31,2,8,16,9,99,99,9,99,99,2,1,2,1,1,16,31,9,99,99,9,99,99,9,99,99,1,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,1,02,3,1488,128,1616,999,0
1604,12686,1,1,01,06,1,0,02,3,9,9,9,9,9,9,9,9,9,9,1,0,9,0,9,9,99,99,99,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,1,1,1,1,39,16,1,8,5,9,99,99,9,99,99,2,1,1,1,1,39,16,9,99,99,9,99,99,9,99,99,1,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,0,01,2,1410,0,1410,95,1
1605,13683,4,9,05,04,1,0,99,2,2,0,9,9,4,9,9,9,9,9,9,9,9,0,9,9,99,99,99,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,1,5,1,1,24,24,9,99,99,9,99,99,9,99,99,1,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,0,05,1,576,0,576,999,2
1606,22798,3,5,01,04,1,1,99,2,1,0,9,9,5,1,1,0,0,0,9,9,9,0,9,9,99,99,99,5,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,1,1,1,1,27,32,9,99,99,9,99,99,9,99,99,1,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,0,01,1,971,389,1360,85,5
1607,6707,2,4,06,06,1,1,95,2,1,0,9,9,1,9,9,9,9,2,9,9,9,0,9,9,99,99,99,1,2,1,1,12,28,1,14,22,2,4,23,9,99,99,3,1,2,1,1,12,28,1,14,22,1,4,23,9,99,99,3,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,1,02,2,1380,92,1472,999,0
1608,22491,4,9,05,04,1,1,99,4,9,9,9,9,9,9,9,9,9,9,9,9,9,0,9,9,99,99,99,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,1,1,1,1,37,19,9,99,99,9,99,99,9,99,99,1,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,0,01,1,759,0,759,80,1
1609,7117,4,8,06,06,2,0,99,2,1,1,0,9,2,9,9,9,9,1,9,9,9,0,9,9,99,99,99,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,1,4,1,2,25,23,1,15,12,1,52,23,1,38,7,4,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,1,04,1,1642,575,2217,999,2
1610,3967,2,4,01,08,1,0,02,2,2,0,9,9,1,9,9,9,9,1,9,9,9,0,9,9,99,99,99,1,1,1,1,54,26,9,99,99,9,99,99,9,99,99,1,1,1,1,1,54,26,9,99,99,9,99,99,9,99,99,1,1,1,1,1,28,26,9,99,99,9,99,99,9,99,99,1,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,0,01,3,3930,0,3930,111,1
1611,6577,1,1,01,07,1,0,99,2,2,0,9,9,1,9,9,9,9,0,9,9,9,0,9,9,99,99,99,1,2,1,2,37,24,9,99,99,9,99,99,9,99,99,1,1,2,1,1,37,24,2,24,10,2,20,8,9,99,99,3,1,2,1,1,37,24,9,99,99,9,99,99,9,99,99,1,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,1,02,3,1776,1288,3064,999,0
1612,6707,2,4,01,07,1,0,01,2,2,0,9,9,1,9,9,9,9,1,9,9,9,0,9,9,99,99,99,1,6,1,1,47,28,9,99,99,9,99,99,9,99,99,1,1,6,1,1,47,23,1,5,26,2,5,21,9,99,99,3,1,6,1,1,47,28,9,99,99,9,99,99,9,99,99,1,9,9,9,9,99,99,9,99,99,9,99,99,9,99,99,9,99999,99999,9999,1,21,3,3843,105,3948,999,2
